x,y,days_below_so,days_below_so_fb,days_below_so_adj_95,days_total,days_below_so_adj_95fb,survival_so,survival_adj_95,survival_so_fb,survival_adj_95fb
5.08334383097562,56.1666672285213,0,0,0,153,0,100,100,100,100
5.08334383097562,56.2500005766403,0,0,0,153,0,100,100,100,100
5.08334383097562,56.3333339247593,0,0,0,153,0,100,100,100,100
5.08334383097562,56.4166672728782,0,0,0,153,0,100,100,100,100
5.08334383097562,56.5000006209972,0,0,0,153,0,100,100,100,100
5.08334383097562,56.5833339691162,0,0,0,153,0,100,100,100,100
5.08334383097562,56.6666673172352,0,0,0,153,0,100,100,100,100
5.08334383097562,56.7500006653542,0,0,0,153,0,100,100,100,100
5.08334383097562,56.8333340134732,0,0,0,153,0,100,100,100,100
5.08334383097562,56.9166673615921,0,0,0,153,0,100,100,100,100
5.08334383097562,57.0000007097111,0,0,0,153,0,100,100,100,100
5.08334383097562,57.0833340578301,0,0,0,153,0,100,100,100,100
5.08334383097562,57.1666674059491,0,0,0,153,0,100,100,100,100
5.08334383097562,57.2500007540681,0,0,0,153,0,100,100,100,100
5.08334383097562,57.3333341021871,0,0,0,153,0,100,100,100,100
5.08334383097562,57.416667450306,0,0,0,153,0,100,100,100,100
5.08334383097562,57.500000798425,0,0,0,153,0,100,100,100,100
5.08334383097562,57.583334146544,0,0,0,153,0,100,100,100,100
5.08334383097562,57.666667494663,0,0,0,153,0,100,100,100,100
5.08334383097562,57.750000842782,0,0,0,153,0,100,100,100,100
5.08334383097562,57.8333341909009,0,0,0,153,0,100,100,100,100
5.08334383097562,57.9166675390199,0,0,0,153,0,100,100,100,100
5.08334383097562,58.0000008871389,0,0,0,153,0,100,100,100,100
5.08334383097562,58.0833342352579,0,0,0,153,0,100,100,100,100
5.08334383097562,58.1666675833769,0,0,0,153,0,100,100,100,100
5.08334383097562,58.2500009314958,0,0,0,153,0,100,100,100,100
5.08334383097562,58.3333342796148,0,0,0,153,0,100,100,100,100
5.08334383097562,58.4166676277338,0,0,0,153,0,100,100,100,100
5.08334383097562,58.5000009758528,0,0,0,153,0,100,100,100,100
5.08334383097562,58.5833343239718,0,0,0,153,0,100,100,100,100
5.08334383097562,58.6666676720908,0,0,0,153,0,100,100,100,100
5.08334383097562,58.7500010202097,0,0,0,153,0,100,100,100,100
5.08334383097562,58.8333343683287,0,0,0,153,0,100,100,100,100
5.08334383097562,58.9166677164477,0,0,0,153,0,100,100,100,100
5.08334383097562,59.0000010645667,0,0,0,153,0,100,100,100,100
5.08334383097562,59.0833344126857,0,0,0,153,0,100,100,100,100
5.08334383097562,59.1666677608047,0,0,0,153,0,100,100,100,100
5.08334383097562,59.2500011089236,0,0,0,153,0,100,100,100,100
5.08334383097562,59.3333344570426,0,0,0,153,0,100,100,100,100
5.08334383097562,59.4166678051616,0,0,0,153,0,100,100,100,100
5.08334383097562,59.5000011532806,0,0,0,153,0,100,100,100,100
5.08334383097562,59.5833345013996,0,0,0,153,0,100,100,100,100
5.08334383097562,59.6666678495185,0,0,0,153,0,100,100,100,100
5.08334383097562,59.7500011976375,0,0,0,153,0,100,100,100,100
5.08334383097562,59.9166678938755,0,0,0,153,0,100,100,100,100
5.08334383097562,60.0000012419945,0,0,0,153,0,100,100,100,100
5.08334383097562,60.0833345901134,0,0,0,153,0,100,100,100,100
5.08334383097562,60.4166679825894,0,0,0,153,0,100,100,100,100
5.08334383097562,61.0833347675412,0,0,0,153,0,100,100,100,100
5.08334383097562,61.1666681156602,0,0,0,153,0,100,100,100,100
5.08334383097562,61.5000015081361,0,0,0,153,0,100,100,100,100
5.08334383097562,61.5833348562551,0,0,0,153,0,100,100,100,100
